health_board,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013
Betsi Cadwaladr University,44,44,43,43,43
Hywel Dda,40,40,40,39,39
Powys Teaching,41,40,40,39,40
Abertawe Bro Morgannwg University,47,46,45,44,42
Cwm Taf,44,44,45,45,43
Cardiff and Vale University,47,46,46,44,44
Aneurin Bevan,44,44,44,43,42
