"ï»¿""Local Authorities""",Name,"Death Rates (Age-Standardised) per 100,000 population(2001)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2002)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2003)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2004)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2006)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2007)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2008)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2009)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2010)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2002-2003)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2004-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2006-2007)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2008-2009)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2010-2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 3 Yr Range(2003-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 3 Yr Range(2006-2008)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 3 Yr Range(2009-2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (2002-2003)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (2004-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (2006-2007)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (2008-2009)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (2010-2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(2003-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(2006-2008)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(2009-2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (2002-2003)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (2004-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (2006-2007)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (2008-2009)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (2010-2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(2003-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(2006-2008)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(2009-2011)",Numerator
00NX,Swansea,13.54,33,10.39,26,16.41,43,14.86,37,16.66,41,12.61,31,11.98,31,15.03,38,16.66,42,11.15,30,13.94,37,13.39,69,15.77,78,12.36,62,15.83,80,12.55,67,15.98,121,13.25,100,13.97,109,8.66,23,12.54,31,6.27,18,8.26,23,6.2,19,11.28,43,7.39,31,6.48,29,18.53,46,19.32,47,18.81,44,23.86,57,19.24,48,21.07,78,19.47,69,21.94,80
00NZ,Neath Port Talbot,17.43,26,12.93,19,12.8,19,11.25,19,9.49,15,10.76,16,8.88,15,10.82,17,12.96,20,12.75,21,11.58,18,12.86,38,10.37,34,9.87,31,11.88,37,12.15,39,11.17,53,10.21,48,12.42,59,7.4,11,4.4,8,8.71,14,6.63,10,12.99,22,4.29,11,7.58,18,11.33,28,18.63,27,16.8,26,11.19,17,17.37,27,11.14,17,18.51,42,13.04,30,13.53,31
00PB,Bridgend,11.84,17,11.89,16,10.16,15,11.4,17,12.99,19,15,22,20.99,31,20.27,30,18.5,28,19.16,30,17.19,28,11.02,31,12.21,36,17.99,53,19.37,58,18.19,58,11.52,51,18.77,83,18.32,86,4.29,6,5.54,8,10.76,16,13.74,22,10.31,17,4.75,10,13.3,31,9.94,24,18.11,25,19.4,28,25.7,37,25.05,36,26.57,41,18.83,41,24.43,52,27.18,62
00PD,The Vale of Glamorgan,10.87,15,8.15,13,11.83,17,8.34,12,13.6,18,13.49,18,14.73,22,16.16,24,9.1,13,11.64,16,13.4,20,10.04,30,10.98,30,14.16,40,12.61,37,12.52,36,11.25,47,14.87,64,11.36,49,6.5,12,9.96,15,5.23,9,9,14,6.79,10,8.82,21,8.29,20,5.76,13,14.1,18,11.86,15,24.04,31,16.35,23,19.03,26,13.77,26,22.03,44,17.62,36
00PF,Rhondda Cynon Taff,13.81,34,9.23,22,11.35,28,16.12,40,14.37,35,15.19,38,21.99,53,19.8,49,16.48,43,19.98,50,15.2,41,10.28,50,15.24,75,18.51,91,18.18,92,17.59,91,13.96,103,18.88,140,17.21,134,5.69,14,12.23,31,9.27,24,11.4,30,15.77,42,10.11,38,9.38,37,14.85,59,15.24,36,18.36,44,28.33,67,25.47,62,19.63,49,18.01,65,28.98,103,19.86,75
00PH,Merthyr Tydfil,21.18,12,15.11,9,11.89,7,20.05,12,20.17,12,17.1,10,19.7,11,18.21,10,18.64,12,22.49,14,15.97,10,13.45,16,20.19,24,18.33,21,18.44,22,19.25,24,17.45,31,18.27,31,19.07,36,7,4,11.92,7,11.45,7,11.06,7,15.69,10,11.74,10,11.55,10,13.87,14,20.23,12,29.03,17,25.53,14,26.24,15,23.04,14,23.76,21,25.4,21,24.53,22
00PK,Caerphilly,12.56,23,9.58,17,13.65,25,11.46,22,14.04,26,12.46,23,9.44,17,14.97,28,16.74,33,11.01,23,13.8,27,11.61,42,12.78,48,10.91,40,15.86,61,12.4,50,13.07,73,12.29,68,13.82,83,11.75,22,9.18,18,6.5,13,9.55,19,8.69,20,9.71,28,7.64,23,8.89,29,11.32,20,16.68,30,15.44,27,22.83,42,16.12,30,16.64,45,17.08,45,19.1,54
00PL,Blaenau Gwent,7.54,6,9.17,7,12.24,9,12.16,10,14.68,11,18.99,15,15.92,14,30.83,24,27.25,20,18.44,14,15.43,12,10.77,16,13.38,21,17.48,29,29.06,44,16.9,26,13.01,30,21.91,53,20.37,46,6.73,6,10.89,9,18.38,15,21.27,17,7.68,6,9.66,12,20.56,25,10.99,13,14.72,10,15.79,12,16.86,14,37.56,27,26.85,20,16.37,18,23.66,28,30.53,33
00PM,Torfaen,5.18,5,12.83,13,14.62,15,4.56,5,10.31,10,8.33,8,10,10,9.63,9,13.99,14,12.29,12,13.07,14,13.76,28,7.45,15,9.13,18,11.76,23,12.66,26,9.8,30,9.27,27,13.11,40,9.6,11,4.26,5,7.57,7,9.43,9,11.12,11,6.22,11,9.31,13,9.44,14,17.99,17,10.72,10,10.84,11,14.44,14,14.84,15,13.46,19,9.38,14,17.48,26
00PP,Monmouthshire,6.91,7,7.87,8,4.93,5,6.07,6,5.01,6,5.07,6,13.39,15,7.23,7,15.15,16,7.94,10,7.92,9,6.4,13,5.52,12,9.25,21,11.22,23,7.92,19,5.35,17,8.52,28,10.29,35,3.47,4,2.18,3,6.67,7,9.63,11,5.47,7,3.27,6,5.48,9,9.06,16,9.73,9,9,9,12.35,14,12.81,12,10.77,12,7.51,11,11.91,19,11.71,19
