health_board,2003-2005,2004-2006,2005-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013
Betsi Cadwaladr University,17,17,18,18,18,19,19,20,21
Hywel Dda,18,18,20,20,22,22,22,24,23
Powys Teaching,16,18,16,14,16,17,19,20,20
Abertawe Bro Morgannwg University,18,20,21,22,23,23,23,24,23
Cwm Taf,21,22,24,26,26,26,26,26,26
Cardiff and Vale University,17,17,17,18,20,21,20,20,20
Aneurin Bevan,19,21,23,24,23,24,24,25,26
