health_board,2003-2005,2004-2006,2005-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013
Betsi Cadwaladr University,53,52,53,54,54,55,55,56,57
Hywel Dda,54,56,57,58,59,58,57,57,57
Powys Teaching,52,53,55,54,56,56,55,55,57
Abertawe Bro Morgannwg University,55,57,57,58,59,59,59,59,59
Cwm Taf,60,61,62,62,61,62,64,65,64
Cardiff and Vale University,53,54,53,54,55,55,54,54,55
Aneurin Bevan,55,58,60,60,60,59,60,61,61
