health_board,2003-2005,2004-2006,2005-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,,,,,,,,
Betsi Cadwaladr University,32,31,32,33,32,31,31,31,32,,,,,,,,
Hywel Dda,34,33,32,32,32,32,31,32,32,,,,,,,,
Powys Teaching,28,28,28,27,26,27,26,27,26,,,,,,,,
Abertawe Bro Morgannwg University,37,36,36,37,36,36,37,37,37,,,,,,,,
Cwm Taf,40,41,39,39,39,38,39,40,40,,,,,,,,
Cardiff and Vale University,34,32,33,34,35,35,35,36,35,,,,,,,,
Aneurin Bevan,36,35,36,36,36,36,36,36,35,,,,,,,,
