health_board,2003-2005,2004-2006,2005-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,,,,,,,,
Betsi Cadwaladr University,30,32,33,31,31,31,32,31,30,,,,,,,,
Hywel Dda,32,33,32,32,33,32,32,32,32,,,,,,,,
Powys Teaching,36,35,33,36,38,38,39,38,35,,,,,,,,
Abertawe Bro Morgannwg University,26,28,28,27,28,28,28,28,28,,,,,,,,
Cwm Taf,25,26,28,27,27,27,26,26,26,,,,,,,,
Cardiff and Vale University,27,30,29,27,26,26,26,26,26,,,,,,,,
Aneurin Bevan,27,27,28,28,28,28,28,28,29,,,,,,,,
