health_board,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,April 2013 (3),May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,April 2014 (2),May 2014 (1),Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14
Powis,87.11217184,87.59689922,89.28571429,86.7965368,85.27607362,85.78199052,86.9739479,85.30020704,84.70588235,82.59958071,82.12669683,86.07594937,80.54393305,83.69098712,81.30252101,84.53427065,88.61283644,86.84719536,92.43542435,92.03539823,91.95876289,90.6360424,90.48543689,87.80991736,89.75791434,88.5177453,84.33098592,85.82677165,85.22267206,84.29752066,86.94915254,89.40754039
Betsi Cadwaladr University LHB,98.13084112,92.68292683,92.52336449,92.24137931,88.97637795,87.5,91.93548387,85.95041322,87.5,77.96610169,87.61904762,93.51851852,91.17647059,83.78378378,87.1559633,78.74015748,86.56716418,82.94573643,94.65648855,90.625,93.85964912,94.26229508,95.68965517,91.04477612,90.65420561,90,81.74603175,85.03937008,87,86.66666667,83.60655738,95.53571429
Hywel Dda LHB,87.14285714,84.41558442,89.28571429,87.67123288,86.44067797,81.66666667,85.8974359,80,75.43859649,78.94736842,77.96610169,86.56716418,80,80.28169014,77.77777778,88.15789474,88.52459016,79.26829268,92.94117647,92.77108434,94.20289855,86.04651163,86.76470588,83.33333333,93.18181818,88.13559322,91.35802469,85.32110092,90.27777778,88.17204301,83.33333333,87.87878788
Abertawe Bro Morgannwg University LHB,63.52941176,77.67857143,80.45977011,75.49019608,73.07692308,77.01149425,79.43925234,77.5,70.23809524,70.58823529,69.33333333,69.47368421,73.14814815,77.41935484,75,87.93103448,88.34951456,88.88888889,88.98305085,87.2,89.28571429,86.23853211,84.375,83.33333333,91.15044248,86.40776699,78.86178862,82.8125,81.98198198,78.78787879,89.47368421,82.30088496
Cwm Taf LHB,85.71428571,78.26086957,88.23529412,89.36170213,85.24590164,82.60869565,84.48275862,87.27272727,88.0952381,80.55555556,75,78.57142857,66.10169492,87.80487805,85.10638298,79.24528302,86.84210526,83.33333333,77.27272727,89.28571429,95.65217391,95.23809524,89.83050847,87.5,82.35294118,90.90909091,85.71428571,92.42424242,86.79245283,84.21052632,92.85714286,97.72727273
Aneurin Bevan LHB (2),98.30508475,95.77464789,95.55555556,98.36065574,96.82539683,95.45454545,90.74074074,93.02325581,95.0617284,100,96.34146341,97.77777778,87.32394366,88.15789474,72.94117647,89.56521739,88.75,95.0617284,97.27272727,97.22222222,88.88888889,95,96.84210526,96.20253165,95.09803922,90.58823529,83.15789474,83.92857143,78.82352941,81.1965812,90.29126214,92.38095238
Cardiff & Vale University LHB (3),91.07142857,94.25287356,92.06349206,80.95238095,85.33333333,91.04477612,89.74358974,87.87878788,92.30769231,90.47619048,79.22077922,86.11111111,82.05128205,87.83783784,91.66666667,81.70731707,94.02985075,92,96.2962963,96.92307692,92.06349206,87.20930233,86.41975309,82.53968254,80.26315789,86.36363636,89.65517241,89.24731183,89.04109589,90.14084507,85.10638298,84.52380952
