health_board,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14
Powys Teaching,98.39572193,98.43400447,97.60403531,97.81859931,98.58823529,98.20971867,98.48484848,97.96610169,97.65517241,96.13636364,98.66844208,97.68009768,95.48022599,97.0959596,96.57701711,98.19915254,98.47522236,98.20359281,99.13419913,98.55769231,98.20742638,98.07692308,98.17232376,97.21871049,98.73257288,97.99498747,97.62202753,97.23502304,97.86096257,98.19277108,97.46136865,96.94376528
Betsi Cadwaladr University,100,98.52216749,98.81656805,99.48979592,97.97979798,99.43181818,99.42528736,98.91891892,100,98.33333333,98.20359281,96.93251534,97.10144928,98.80952381,98.74213836,99.51219512,98.42105263,98.21428571,100,99.48186528,98.96907216,97.89473684,98.77300613,97.77777778,99.43502825,98.95287958,98.36956522,98.57819905,99.37106918,98.91304348,97.90794979,97.72727273
Hywel Dda,96.73913043,98.55072464,96.58119658,96.2406015,100,99.07407407,100,94.52054795,94.95798319,96.18320611,97.63779528,97.6744186,93.33333333,92.59259259,94.44444444,97.2972973,98.33333333,96.57534247,99.35483871,95.79831933,96.72131148,97.36842105,94.35483871,97.58064516,96.06299213,96.42857143,93.33333333,95.38461538,98.38709677,96.03174603,95.45454545,96
Abertawe Bro Morgannwg University,96.73202614,96.77419355,95.30201342,94.33962264,95.56962025,93.75,95,96.22641509,94.35483871,89.03225806,98.47328244,95.39473684,90.25974026,94.52054795,92.5170068,97.23756906,99.19354839,99.33774834,98.125,97.72727273,97.88732394,97.26027397,98.50746269,96.69421488,97.43589744,98.14814815,97.91666667,98.4962406,97.39130435,97.98657718,95.38461538,97.16312057
Cwm Taf,98.71794872,98.13084112,100,99.21875,100,100,98.27586207,100,99.02912621,97.70992366,97.91666667,99.07407407,97.52066116,97.05882353,98.91304348,100,97.72727273,98.03921569,98.1981982,100,97.5308642,99.07407407,97.64705882,95.45454545,100,97.8021978,97.5,99.05660377,99.0990991,99.13043478,99.00990099,96.90721649
Aneurin Bevan,99.38650307,99.41520468,98.19277108,99.375,100,99.34640523,99.42857143,99.45355191,99.2,100,100,98.78787879,97.83783784,99.44134078,98.46938776,96.90721649,98.18181818,97.60479042,98.98477157,98.42105263,99.35897436,98.85057471,99.39759036,98.32402235,99.4047619,97.88732394,98.08917197,94.38202247,94.48818898,99.375,98.46938776,97.38562092
Cardiff and Vale University,98.01980198,99.16666667,97.02970297,97.89473684,99.01960784,97.91666667,99.17355372,99.03846154,97.36842105,94.95798319,100,99.01960784,95.91836735,98.87640449,95.91836735,99.0990991,99,100,100,100,97.6744186,98,100,95.95959596,100,98,100,98.18181818,98.21428571,96.875,98.14814815,96.03960396
