health_board,Nov-14
Powis,89.40754039
Betsi Cadwaladr University LHB,95.53571429
Hywel Dda LHB,87.87878788
Abertawe Bro Morgannwg University LHB,82.30088496
Cwm Taf LHB,97.72727273
Aneurin Bevan LHB (2),92.38095238
Cardiff & Vale University LHB (3),84.52380952
