health_board,Nov-15
Powys Teaching,96.94376528
Betsi Cadwaladr University,97.72727273
Hywel Dda,96
Abertawe Bro Morgannwg University,97.16312057
Cwm Taf,96.90721649
Aneurin Bevan,97.38562092
Cardiff and Vale University,96.03960396
