health_board,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013
Betsi Cadwaladr University,37,36,36,36,36
Hywel Dda,39,40,38,36,37
Powys Teaching,39,37,40,41,37
Abertawe Bro Morgannwg University,34,35,33,32,31
Cwm Taf,29,30,30,27,28
Cardiff and Vale University,39,37,34,34,34
Aneurin Bevan,33,32,31,30,31
