health_board,date,less than 4 hours percent,less than 8 hours percent,less than 12 hours percent,more than 12 hours
Cwm Taf,Mar 2014,0.9126266280752533,0.98589001447178,0.9958393632416788,46.0
Hywel Dda,Mar 2014,0.8898502495840266,0.9721297836938436,0.989018302828619,132.0
Powys Teaching,Mar 2014,0.9979494190020506,0.9993164730006835,0.9993164730006835,1.0
Abertawe Bro Morgannwg University,Feb 2014,0.84553032040988,0.9399709413474039,0.9779001299992353,289.0
Aneurin Bevan,Feb 2014,0.9196001367053999,0.9608680792891319,0.9872693096377307,149.0
Betsi Cadwaladr University,Feb 2014,0.8273362671498835,0.9424669945638106,0.9748252653378203,389.0
Cardiff and Vale University,Feb 2014,0.8758332504228435,0.9674659237886778,0.985673067356482,144.0
Cwm Taf,Feb 2014,0.8664548641542507,0.9635188431200701,0.9880587204206837,109.0
Hywel Dda,Feb 2014,0.8639561349058555,0.952513966480447,0.9768259879991723,224.0
Powys Teaching,Feb 2014,0.9991511035653651,1.0,1.0,0.0
Abertawe Bro Morgannwg University,Jan 2014,0.8302240149823525,0.9155802060073471,0.9572138586760787,594.0
Aneurin Bevan,Jan 2014,0.9352564621991735,0.9682359614293817,0.9901142533020014,122.0
Betsi Cadwaladr University,Jan 2014,0.8522978618825264,0.9470385844187761,0.9768370607028753,377.0
Cardiff and Vale University,Jan 2014,0.9332704105710241,0.9895233600755073,0.9983954695611137,17.0
Cwm Taf,Jan 2014,0.9244151169766047,0.9849030193961208,0.9946010797840432,54.0
Hywel Dda,Jan 2014,0.8790688498717696,0.9602485697376208,0.9826395738804498,176.0
Powys Teaching,Jan 2014,0.9975186104218362,1.0,1.0,0.0
Abertawe Bro Morgannwg University,Dec 2013,0.8408316775475447,0.9339341470337781,0.9719699120068124,395.0
Aneurin Bevan,Dec 2013,0.9206261799874135,0.9645217117684078,0.9911107614852108,113.0
Betsi Cadwaladr University,Dec 2013,0.8693367946102973,0.9698992521169417,0.9892453180048211,174.0
Cardiff and Vale University,Dec 2013,0.9289231626869832,0.9923813063272322,0.9988850692186193,12.0
Cwm Taf,Dec 2013,0.921612541993281,0.9856459330143541,0.9952153110047847,47.0
Hywel Dda,Dec 2013,0.8999414291292464,0.9740335806325654,0.9893596251464272,109.0
Powys Teaching,Dec 2013,0.9983818770226537,1.0,1.0,0.0
Abertawe Bro Morgannwg University,Nov 2013,0.8187929061784897,0.9166189931350115,0.9643878718535469,498.0
Aneurin Bevan,Nov 2013,0.9283240718369976,0.969960537972135,0.9912217121688008,109.0
Betsi Cadwaladr University,Nov 2013,0.8786522441874922,0.9708442123585727,0.9888723113266195,179.0
Cardiff and Vale University,Nov 2013,0.9305342823677809,0.9956752860618073,0.9996396071718173,4.0
Cwm Taf,Nov 2013,0.9401419315026226,0.9930062737838116,0.9975316260413453,24.0
Hywel Dda,Nov 2013,0.8991444866920152,0.975,0.991254752851711,92.0
Powys Teaching,Nov 2013,1.0,1.0,1.0,0.0
Abertawe Bro Morgannwg University,Oct 2013,0.8406374501992032,0.9361896675592711,0.9794265560707988,315.0
Aneurin Bevan,Oct 2013,0.9312523225566703,0.9680416202155333,0.9924934968413229,101.0
Betsi Cadwaladr University,Oct 2013,0.8968315730961646,0.9711506392440244,0.9888271261812118,201.0
Cardiff and Vale University,Oct 2013,0.9305873379099924,0.992880752606153,0.9987287058225274,15.0
Cwm Taf,Oct 2013,0.9252895752895753,0.983976833976834,0.9938223938223938,64.0
Hywel Dda,Oct 2013,0.9158854610533492,0.9803988409749446,0.9931822055565025,80.0
Powys Teaching,Oct 2013,0.9992464204973625,1.0,1.0,0.0
Abertawe Bro Morgannwg University,Sep 202013,0.8552486187845304,0.9363665908352291,0.9799155021124472,309.0
Aneurin Bevan,Sep 202013,0.9236906256925463,0.9618822486518431,0.9884760286621851,156.0
Betsi Cadwaladr University,Sep 202013,0.8875416461849364,0.9763504287508875,0.990605713037304,172.0
Cardiff and Vale University,Sep 202013,0.9401716738197425,0.9953648068669528,0.9997424892703862,3.0
Cwm Taf,Sep 202013,0.9026600985221674,0.9756650246305418,0.9883743842364532,118.0
Hywel Dda,Sep 202013,0.9392099792099792,0.9881912681912682,0.9965072765072766,42.0
Powys Teaching,Sep 202013,0.9964564138908576,0.9992912827781715,0.9992912827781715,1.0
Abertawe Bro Morgannwg University,Aug 202013,0.8944060339409177,0.9531741043368951,0.9846637335009428,244.0
Aneurin Bevan,Aug 202013,0.9343456572769953,0.9730780516431925,0.9972857981220657,37.0
Betsi Cadwaladr University,Aug 202013,0.9027724297266077,0.9833461686561417,0.995331151328456,97.0
Cardiff and Vale University,Aug 202013,0.9393806088333626,0.9957768784092909,0.9997360549005807,3.0
Cwm Taf,Aug 202013,0.9182531894013739,0.9833169774288518,0.9934249263984298,67.0
Hywel Dda,Aug 202013,0.9200599925009374,0.9810273715785527,0.9922009748781402,104.0
Powys Teaching,Aug 202013,0.9987146529562982,1.0,1.0,0.0
Abertawe Bro Morgannwg University,July 202013,0.9046054561454973,0.9611029627456732,0.9831035494279847,288.0
Aneurin Bevan,July 202013,0.9282384610334187,0.9729499047994222,0.9955354211804872,68.0
Betsi Cadwaladr University,July 202013,0.9210587850161344,0.98428658279942,0.9950427910021981,106.0
Cardiff and Vale University,July 202013,0.927237604636188,0.993319381841597,0.9987926593689633,15.0
Cwm Taf,July 202013,0.8956081660662206,0.9725510379138789,0.988677303139475,132.0
Hywel Dda,July 202013,0.9495533753111729,0.9877727339288329,0.9947283643285986,72.0
Powys Teaching,July 202013,0.9988221436984688,1.0,1.0,0.0
Abertawe Bro Morgannwg University,June 202013,0.9158244590653192,0.9761242623617988,0.994709353591535,78.0
Aneurin Bevan,June 202013,0.9182775533756492,0.9640075014425851,0.9863675706866705,189.0
Betsi Cadwaladr University,June 202013,0.9262187806740102,0.9900207219980368,0.997491547606064,46.0
Cardiff and Vale University,June 202013,0.9328300591919019,0.993051385433645,0.998112721969632,22.0
Cwm Taf,June 202013,0.9151438569206843,0.979199066874028,0.9927099533437014,75.0
Hywel Dda,June 202013,0.9624197187988196,0.9915813226870335,0.9950529421975352,57.0
Powys Teaching,June 202013,0.9965635738831615,1.0,1.0,0.0
Abertawe Bro Morgannwg University,Apr 202013,0.846268353745179,0.926652682860816,0.9633940050071047,541.0
Aneurin Bevan,Apr 202013,0.9003438940513646,0.9489280749250019,0.9730006585205239,369.0
Betsi Cadwaladr University,Apr 202013,0.8569784645734013,0.951613787056825,0.9749027343964053,458.0
Cardiff and Vale University,Apr 202013,0.8459565737732946,0.9570866814840143,0.9815353051803727,216.0
Cwm Taf,Apr 202013,0.8064021468276787,0.9275445658424382,0.9635806018784743,380.0
Hywel Dda,Apr 202013,0.8746892945915831,0.9531156252678495,0.9754007028370618,287.0
Powys Teaching,Apr 202013,0.9960906958561376,1.0,1.0,0.0
