health_board,less than 4 hours,less than 8 hours,less than 12 hours,more than 12 hours
Abertawe Bro Morgannwg University,11026,12932,13615,618
Aneurin Bevan,11174,11881,12322,401
Betsi Cadwaladr University,12814,15101,15882,721
Cardiff and Vale University,8218,10060,10618,221
Cwm Taf,8785,9761,10067,319
Hywel Dda,9008,10263,10620,210
Powys Teaching,1272,1275,1275,0
