health_board,date,less than 4 hours,less than 8 hours,less than 12 hours,more than 12 hours
Powys Teaching,Feb 2014,1177.0,1178.0,1178.0,0.0
Abertawe Bro Morgannwg University,Jan 2014,11526.0,12711.0,13289.0,594.0
Aneurin Bevan,Jan 2014,11542.0,11949.0,12219.0,122.0
Betsi Cadwaladr University,Jan 2014,13872.0,15414.0,15899.0,377.0
Cardiff and Vale University,Jan 2014,9888.0,10484.0,10578.0,17.0
Cwm Taf,Jan 2014,9246.0,9851.0,9948.0,54.0
Hywel Dda,Jan 2014,8912.0,9735.0,9962.0,176.0
Powys Teaching,Jan 2014,1206.0,1209.0,1209.0,0.0
Abertawe Bro Morgannwg University,Dec 2013,11849.0,13161.0,13697.0,395.0
Aneurin Bevan,Dec 2013,11703.0,12261.0,12599.0,113.0
Betsi Cadwaladr University,Dec 2013,14065.0,15692.0,16005.0,174.0
Cardiff and Vale University,Dec 2013,9998.0,10681.0,10751.0,12.0
Cwm Taf,Dec 2013,9053.0,9682.0,9776.0,47.0
Hywel Dda,Dec 2013,9219.0,9978.0,10135.0,109.0
Powys Teaching,Dec 2013,1234.0,1236.0,1236.0,0.0
Abertawe Bro Morgannwg University,Nov 2013,11450.0,12818.0,13486.0,498.0
Aneurin Bevan,Nov 2013,11527.0,12044.0,12308.0,109.0
Betsi Cadwaladr University,Nov 2013,14134.0,15617.0,15907.0,179.0
Cardiff and Vale University,Nov 2013,10328.0,11051.0,11095.0,4.0
Cwm Taf,Nov 2013,9141.0,9655.0,9699.0,24.0
Hywel Dda,Nov 2013,9459.0,10257.0,10428.0,92.0
Powys Teaching,Nov 2013,1255.0,1255.0,1255.0,0.0
Abertawe Bro Morgannwg University,Oct 2013,12871.0,14334.0,14996.0,315.0
Aneurin Bevan,Oct 2013,12530.0,13025.0,13354.0,101.0
Betsi Cadwaladr University,Oct 2013,16134.0,17471.0,17789.0,201.0
Cardiff and Vale University,Oct 2013,10980.0,11715.0,11784.0,15.0
Cwm Taf,Oct 2013,9586.0,10194.0,10296.0,64.0
Hywel Dda,Oct 2013,10747.0,11504.0,11654.0,80.0
Powys Teaching,Oct 2013,1326.0,1327.0,1327.0,0.0
Abertawe Bro Morgannwg University,Sep 202013,13158.0,14406.0,15076.0,309.0
Aneurin Bevan,Sep 202013,12504.0,13021.0,13381.0,156.0
Betsi Cadwaladr University,Sep 202013,16250.0,17876.0,18137.0,172.0
Cardiff and Vale University,Sep 202013,10953.0,11596.0,11647.0,3.0
Cwm Taf,Sep 202013,9162.0,9903.0,10032.0,118.0
Hywel Dda,Sep 202013,11294.0,11883.0,11983.0,42.0
Powys Teaching,Sep 202013,1406.0,1410.0,1410.0,1.0
Abertawe Bro Morgannwg University,Aug 202013,14230.0,15165.0,15666.0,244.0
Aneurin Bevan,Aug 202013,12737.0,13265.0,13595.0,37.0
Betsi Cadwaladr University,Aug 202013,18756.0,20430.0,20679.0,97.0
Cardiff and Vale University,Aug 202013,10677.0,11318.0,11363.0,3.0
Cwm Taf,Aug 202013,9357.0,10020.0,10123.0,67.0
Hywel Dda,Aug 202013,12269.0,13082.0,13231.0,104.0
Powys Teaching,Aug 202013,1554.0,1556.0,1556.0,0.0
Abertawe Bro Morgannwg University,July 202013,15419.0,16382.0,16757.0,288.0
Aneurin Bevan,July 202013,14138.0,14819.0,15163.0,68.0
Betsi Cadwaladr University,July 202013,19695.0,21047.0,21277.0,106.0
Cardiff and Vale University,July 202013,11520.0,12341.0,12409.0,15.0
Cwm Taf,July 202013,10441.0,11338.0,11526.0,132.0
Hywel Dda,July 202013,12969.0,13491.0,13586.0,72.0
Powys Teaching,July 202013,1696.0,1698.0,1698.0,0.0
Abertawe Bro Morgannwg University,June 202013,13502.0,14391.0,14665.0,78.0
Aneurin Bevan,June 202013,12731.0,13365.0,13675.0,189.0
Betsi Cadwaladr University,June 202013,16985.0,18155.0,18292.0,46.0
Cardiff and Vale University,June 202013,10874.0,11576.0,11635.0,22.0
Cwm Taf,June 202013,9415.0,10074.0,10213.0,75.0
Hywel Dda,June 202013,11089.0,11425.0,11465.0,57.0
Powys Teaching,June 202013,1450.0,1455.0,1455.0,0.0
Abertawe Bro Morgannwg University,Apr 202013,12507.0,13695.0,14238.0,541.0
Aneurin Bevan,Apr 202013,12305.0,12969.0,13298.0,369.0
Betsi Cadwaladr University,Apr 202013,15639.0,17366.0,17791.0,458.0
Cardiff and Vale University,Apr 202013,9896.0,11196.0,11482.0,216.0
Cwm Taf,Apr 202013,8414.0,9678.0,10054.0,380.0
Hywel Dda,Apr 202013,10205.0,11120.0,11380.0,287.0
Powys Teaching,Apr 202013,1274.0,1279.0,1279.0,0.0
