health_board,less than 4 hours percent,less than 8 hours percent,less than 12 hours percent,more than 12 hours
Abertawe Bro Morgannwg University,0.774678564,0.908592707,0.956579779,618
Aneurin Bevan,0.878251985,0.93382064,0.968482276,401
Betsi Cadwaladr University,0.771788231,0.909534421,0.956574113,721
Cardiff and Vale University,0.758188025,0.928129901,0.979610665,221
Cwm Taf,0.845850183,0.939822838,0.969285577,319
Hywel Dda,0.83176362,0.947645429,0.980609418,210
Powys Teaching,0.997647059,1,1,0
