Local health board:,2003-2005,2004-2006,2005-2007,2007-20008 ,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013
Betsi Cadwaladr University,27,26,25,24,24,23,22,23,21
Hywel Dda,26,24,22,21,22,22,22,21,20
Powys Teaching,23,24,21,17,20,21,20,20,17
Abertawe Bro Morgannwg University,27,27,26,24,24,23,23,24,23
Cwm Taf,28,28,27,25,26,27,26,26,25
Cardiff and Vale University,27,27,24,25,24,23,21,21,23
Aneurin Bevan,27,28,26,25,25,24,24,23,23
